,title,company_name,description
0,Warehouse Associate - Bayview,,"
About the Team
 DashMart is a store made possible by DoorDash. Customers order their convenience items in the DoorDash app, and our Warehouse Associates pick and pack those orders in a real, brick-and-mortar convenience store.
 DashMart stocks everything from convenience store and grocery store essentials to specialty, artisanal food items. We partner with everyone from big brands everyones' familiar with to local craftspeople and chefs that maybe only the locals know.
 Shifts: Morning, Day, Evening, Weekend, Part-Time and Full-Time
 About the Role

Picking and Packing orders. Pick orders that come through the app, pack the order and hand off to our drivers.
Inventory and Spoilage Management. Stock receivables and manage inventory, including shelf life.
Warehouse Organization. Clean and organize the warehouse.
Delight Customers. Ensuring substitutions are approved with the customer.

You're excited about this opportunity because…

Competitive pay (10pm-6am will even receive a $2 increase in pay)
Health benefits starting day 1 for full-time employees
Gym membership reimbursement (up to $75/month)
Paid time off (PTO) and sick leave
Career advancement opportunities
SmartSpend plus discount program for goods and services (including several cell phone discount plans)
DoorDash gives back (https://blog.doordash.com/)
Being a part of a new concept business and helping to build it

We're excited about you because...

You're self-motivated, positive, and a team player
You have a proven track record of success in a retail environment
You're able to be on your feet and handle warehouse duties including lifting up to 40 pounds (with or without accommodations).
You have a high school diploma or GED equivalent

Base Pay Range: $21 / hour
 About DoorDash
 At DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods.
 DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees' happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.
 Our Commitment to Diversity and Inclusion
 We're committed to growing and empowering a more inclusive community within our company, industry, and cities. That's why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.
 Statement of Non-Discrimination: In keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital/domestic partner status, sexual orientation, gender identity or expression, disability status, or veteran status. Above and beyond discrimination and harassment based on ""protected categories,"" we also strive to prevent other subtler forms of inappropriate behavior (i.e., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at DoorDash. We value a diverse workforce – people who identify as women, non-binary or gender non-conforming, LGBTQIA+, American Indian or Native Alaskan, Black or African American, Hispanic or Latinx, Native Hawaiian or Other Pacific Islander, differently-abled, caretakers and parents, and veterans are strongly encouraged to apply. Thank you to the Level Playing Field Institute for this statement of non-discrimination.
 Pursuant to the San Francisco Fair Chance Ordinance, Los Angeles Fair Chance Initiative for Hiring Ordinance, and any other state or local hiring regulations, we will consider for employment any qualified applicant, including those with arrest and conviction records, in a manner consistent with the applicable regulation.
 If you need any accommodations, please inform your recruiting contact upon initial connection.
"
1,AIRPORT SECURITY SCREENER $3000 Sign on Bonus,,"America’s largest privately owned company dedicated exclusively to aviation security. Our services include passenger, baggage, cargo, and employee screening, external/internal airport patrols, access control, air carrier security services, and more. Covenant Aviation Security, LLC has provided over 35 million hours of aviation security services. 

 Covenant was founded in 1992 to provide highly trained and motivated protective security forces to government agencies and select commercial customers. Building on Covenant's reputation for first class delivery of high-quality service and cost-effective contract administration, Covenant has enjoyed over seventeen years of growth while maintaining an unparalleled commitment to performance. 

 $3000 Sign on Bonus 

 **$50,000.00 annually or more 

 **100% medical coverage 

 **holiday premium pay 

 **Paid time off (PTO) 

 **paid sick time 

 Full time and part time positions available! 

 If you would like to have additional information please use the following: 
Text COVENANTJOBS to 25000 
or 
Click Here 


We offer competitive benefit packages including:
 Medical * Employee only coverage is paid 100% 
Dental 
Vision 
401(k) 
Paid time off 
Sick Leave 

 Full time and part time positions are currently open with a pay rate of $25.16 upon graduation. Women and/or individuals with Military experience are encouraged to apply. 

 Transportation Security Officers provide security and protection of air travelers, airports, and aircraft in a courteous and professional manner. 

 Screeners will use diverse, cutting edge electronic detection and imaging equipment to identify dangerous objects in baggage, cargo, and on passengers, preventing those objects from being transported onto aircraft. This includes but is not limited to pat down searches, operation of x-ray machines, baggage screening and ticket review. 


Qualifications:


Must be a US Citizen.
Must possess a High School Diploma or G.E.D.
Must be proficient in the English language.
Must be 18 years of age or older.
Must successfully pass a background investigation to include a criminal check and fingerprinting prior to hire. Security Screeners are required to be able to obtain and maintain a Secret Clearance
Must pass a Drug Screening and Medical Evaluation.
Must successfully complete TSA’s two-week new hire training. The training location may be away from the San Francisco airport. Employees will be paid for compensable hours and reimbursed for authorized travel expenses.
Must be available to work various shifts, weekends and holidays.

Physical Demands:


Must be able to lift up to 50 pounds
Constant standing, lifting, twisting and bending

Work Environment:


At times the work environment can be fast paced and crowded
 Covenant Aviation Security is proud to be an Equal Opportunity Employer. We maintain a drug-free workplace and perform pre-employment drug testing. 
#CB"
2,In-Store Shopper (Online Orders) - Part Time,,"
 At Whole Foods Market, we’re committed to providing record-setting grocery delivery services to our Prime Now customers. This is a fast-growing program and candidates who are passionate about our quality products and great customer service will be a great fit. We think you’ll agree that it’s a great time to join #TeamWFM.
  As an In-Store Shopper, you’ll work on the Store Support team supporting Prime Now customer orders, preparing them for delivery and/or pickup. While our offerings will continue to evolve, you’ll shop throughout our store for everyday goods including food, household items, and so much more. 
  Having a flexible schedule is key to meeting our customer’s needs. We especially need Team Members who like to work on Saturday and Sunday – our busiest times of the week! Shoppers with the ability to work nights, weekends, and holidays are preferred.
  Availability Requirements

 Team Members receive their schedule up to 3 weeks in advance
 Average shifts are 4-8 hours long

 Job Requirements

 Comfort using handheld technology (mobile) device to fulfill orders
 Fulfills online orders efficiently, accurately and with a sense of urgency
 Detail oriented, paying attention to product and order accuracy
 Eagerness to learn product knowledge, customer service standards, and store operations
 Ability to keep staging area organized and free of clutter
 Willingness to work in other departments of the store as required, e.g., customer service, cashier, grocery, etc.

 Basic Qualifications

 Must be at least 18 years old
 Ability to read and speak basic English
 Ability to lift up to 40 pounds, stand/walk for at least 6 hours, and be able to frequently push, pull, squat, bend, and reach with or without reasonable accommodation
 High School diploma or equivalent diploma


 Physical Requirements / Working Conditions

 Must be able to lift 50 pounds.
 In an 8-hour work day: standing/walking 6-8 hours, sitting 1-4 hours.
 Hand use: single grasping, fine manipulation, pushing and pulling.
 Work requires the following motions: bending, twisting, squatting, and reaching.
 Exposure to FDA approved cleaning chemicals.
 Exposure to temperatures: <32 degrees Fahrenheit (freezing), 32-40 degrees Fahrenheit (refrigerators), >90 degrees Fahrenheit.
 Ability to work a flexible schedule including nights, weekends, and holidays as needed.
 Ability to use tools and equipment, including box cutters, electric pallet jacks, and other heavy machinery.
 May require use of ladders.


 At Whole Foods Market, we provide a fair and equal employment opportunity for all Team Members and candidates regardless of race, color, religion, national origin, gender, pregnancy, sexual orientation, gender identity/expression, age, marital status, disability, or any other legally protected characteristic. Whole Foods Market hires and promotes individuals solely based on qualifications for the position to be filled and business needs.
 Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.
"
3,22-23 Part-time After-School Program Leader,,"After School Enrichment Program is a growing non-profit that believes in the greater community and the power of youth development. We are in search for passionate and charismatic Program Leader that wants to make a REAL difference in the lives of children.
Here are the skills an excellent candidate has: 

Be highly alert, focused and take proactive, preventative measures to keep all students safe.
Develop and maintain positive teacher-students and peer relationships.
Implement classroom management procedures for all activities and transitions (training provided).
Be an active participant in group, staff and professional development meetings.
Maintain day-school classrooms clean and organized.
Communicate, with a respectful and positive attitude all in the ASEP Community.
Safely use technology/electronic tools/supplies maintain quality of all equipment.
Arrive to schedule shift, meetings and trainings on time.
Demonstrate maturity when dealing with children and sensitive issues.
Being willing to organize and enthusiastically participate in out door games on the play yard.
MUST have a sense of humor!

Program Leader Qualifications

Must be at least 18 years of age
Must have high school degree or equivalent
Fingerprint and Department of Justice clearance
TB clearance
Covid vaccination
Interested and passion in working with children
Ability to work independently and on a team
Ability to work with children in a positive and caring manner
Ability to maintain professional boundaries with peers, students, community members

Must be available at these hours for either of the following sites: 
Daniel Webster Elementary SChool and McKinley Elementary School
Monday, Tuesday, Thursday and Friday 2pm-6pm
Wednesdays 12:50pm-6:00pm
ASEP follows the SFUSD school calendar which includes time off for Spring Break, Winter Break, and Summer etc.
Additionally, a paid hour of planning and half an hour of professional development training every week.
Start date: Looking to fill the position at the beginning of August 2022. Position starts in August after Livescan and TB test process.
Job Type: Part-time
Pay: $17.45 - $18.45 per hour
Benefits:

Paid time off

Schedule:

Monday to Friday

Education:

High school or equivalent (Required)

Experience:

Childcare: 1 year (Preferred)

License/Certification:

First Aid Certification (Preferred)
CPR Certification (Preferred)

Work Location: Multiple Locations"
4,Front Desk Associate (Flexible On-Call Hours) - San Francisco,,"Create your own schedule and work flexible hours!
Action Property Management is seeking On-Call Front Desk Associates interested in working a variety of shifts at our different luxury high-rise condominiums throughout San Francisco.
Why Join the On-Call Front Desk Associate program?

Competitive compensation $23 per hour and $27 per hour on company observed holidays!
Flexible scheduling. Choose your own hours (AM, PM and Graveyard hours available).
Ongoing Hospitality and Property Management training.
Career advancement opportunities to regular Full Time or Part Time positions.
Values-driven company culture supporting professional growth in Property Management.

If you have a passion for 5-Star Customer Service, we want to hear from you!
Job Summary
Front desk receptionist duties include welcoming and greeting residents, receiving and coordinating packages and deliveries, phones and checking in visitors.
Requirements: 

Must be over 18 years of age and successfully pass a pre-employment criminal background check and drug screening.
Availability to work a minimum of 32 hours each month.
Reliable and punctual. Must be willing to cover shifts at properties throughout San Diego.
A true people-person who genuinely enjoys helping others.
Friendly and positive communicator.
Team player attitude.

Action Property Management is an Equal Opportunity Employer and supports a Drug Free workplace. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. 
Job Type: Part-time
Pay: $23.00 per hour
Schedule:

8 hour shift
Day shift
Night shift
On call
Weekend availability

Education:

High school or equivalent (Preferred)

Experience:

customer service: 1 year (Preferred)
hospitality: 1 year (Preferred)

Work Location: One location"
5,Babysitting and Childcare,,"The Babysitting Company is hiring full time, part time, on call, weekend, holiday, evening and travel sitters.
Sitters make their own schedule!
www.thebabysittingcompany.com
www.instagram.com/thebabysittingcompany
Job Types: Full-time, Part-time, Contract, Temporary
Pay: $30.00 - $50.00 per hour
Benefits:

Flexible schedule
Referral program

Schedule:

10 hour shift
12 hour shift
8 hour shift
Day shift
Holidays
Monday to Friday
Night shift
On call
Weekend availability

Supplemental Pay:

Bonus pay
Commission pay
Signing bonus
Tips

COVID-19 considerations:www.thebabysittingcompany.com/covid19
Education:

High school or equivalent (Preferred)

Experience:

Babysitting: 1 year (Preferred)

Language:

English (Required)

License/Certification:

CPR Certification (Preferred)

Work Location: Multiple Locations"
6,San Francisco Substitute Teacher - $300/day,,"Hiring for the start of the 2022-23 School Year!
Scoot offers market-leading rates, and flexibility to match your schedule - including working five days a week!
We work with districts, charter and private schools in the area. There are opportunities to work with partner schools networks across the Bay Area that including KIPP, Rocketship, Alpha & Aspire, just to name a few. We also partner with multiple public school districts such as San Francisco Unified, and many private school settings such as Hillbrook, La Scuola, Marin Country Day School & more. We have the right school for you!
Here’s the perks of working with Scoot: 

Get paid more $$$ per day
Be treated as an employee on a substitute career track (W-2)
Weekly deposits
Make your own schedule- no minimums! So pursue your acting, projects, parenting, etc without stress!
Apply all online and from home - we conduct interviews virtually!
Enjoy $0 costs! We cover all expenses related to state required health screenings + tests
Love the team of consultants who help you in the mornings
Earn referral bonuses of $100 for each friend you refer to Scoot who works 10 shifts

Substitutes love working with us, and schools love working with us! Come experience the Scoot difference - there is zero cost to onboard!
You: 

have a background in and/or passion for education
value learning above all else
put students first and celebrate their success
possess a growth mindset and empathetic nature
are driven and hungry to be the best you can be

We: 

make all decisions based on our mission and BE GREAT values
prioritize training & development of our substitutes
talk to our educators daily because we care about them
listen to your needs + preferences before matching you with assignments
put learning outcomes and authentic relationships ahead of financial outcomes

A successful Scoot sub: 

Reliable, punctual, and professional
Builds relationships with students, staff and school community
Brings a high level of competency, common sense, and fun
Flexible and shows initiative especially in high-stress situations
Continuously reflects & seeks feedback to become a better educator

You’ll need to: 

Take a TB Risk Assessment & Live Scan (we'll cover the cost of this!)
Be fully vaccinated against COVID-19

You'll have more work opportunities if you: 

Have a 30 Day Substitute Teaching Permit OR CA Teaching Credential

You’ll get paid: 

Scoot pays the highest rates among substitute providers! Your daily pay rate varies based on your credentials, the school, and the assignment. We're proud to pay up to $300 for day-to-day assignments, and more for long-term!

Why you’ll enjoy working with Scoot: 

Join a team of elite substitute educators
Direct deposits weekly
W-2 employee of Scoot, meaning no fussing with taxes!
100% flexible work schedule - no minimum commitment so you decide when to work
Devoted, awesome Consultants providing personalized support
Paid training to prepare you for the classroom -ask us about ScootCamp!
Invitations to happy hours + social events

About Scoot: 

People are our entire reason for being. We’re an educational staffing company specializing in helping teachers-for free!
We are tech-driven, but human-enabled. We’re local, but come with 15+ years of global expertise. We understand urgency, value diversity, and we have heart.
We are dedicated to helping create exceptional experiences in education.
We care about developing meaningful relationships with you and the community as well as striving to ""BE GREAT"" every day.

Our “BE GREAT” values are: Belief, Exceptional, Growth, Relationships, Empower, Attitude, Team.

We can’t wait to hear from you! Apply: www.scoot.education/jobs/substitute

Keywords: Teacher, Substitute, Kinder, Early Years, Early Childhood, Elementary, Middle, High, SpEd, Special Ed, Resource Specialist, IEP, Paraprofessional, Teaching Aide, Teaching Assistant, TA, Instructional Assistant, Campus Aide, Yard Supervisor, Math, Science, STEM, English, ELA, History, Social Studies, PE, Physical Education, Music, Art, Drama, Theatre Studies
Job Types: Full-time, Part-time, Contract, Temporary
Pay: $200.00 - $300.00 per day
Benefits:

Flexible schedule
Referral program

Schedule:

4 hour shift
8 hour shift
Day shift
Monday to Friday
On call
Overtime

COVID-19 considerations:All Scoot substitutes are required to be fully vaccinated against COVID-19. Our school partners all have further safety precautions and policies in place to protect you, and their school communities.
Education:

Bachelor's (Preferred)

License/Certification:

Do you have a CA Substitute Teaching Permit/Credential? (Preferred)

Work Location: One location"
7,Nanny/Babysitter,,"Nurturing Nanny
Job Overview: Become a “Nurturing Nanny” at Nurny!
At Nurny we are looking for energetic and caring individuals to supervise children/adolescents with neurodevelopmental diagnoses (i.e., autism, ADHD, Down syndrome, global developmental delay, etc etc.). We are seeking caring and experienced professionals who enjoy spending time with kids and helping them lead more independent lives. The successful applicant will be responsible for engaging children in fun, developmentally appropriate activities, following through with therapeutic interventions and utilizing individualized communication strategies. Weekend and evening work may be required.
Pay Range

Per Diem


$20-$30 per hour

Perks

Make your own schedule


Flexible hours


Local commutes

Responsibilities and Duties

Facilitate communication using individualized communication systems


Assist in the generalization of therapeutic interventions, if applicable


Engage children in fun and developmentally appropriate activities


Assist children with school tasks and/or assignments, if applicable


Utilize positive behavior strategies to support emotional well-being during periods of behavior escalation


Assist with toileting and other self care activities when necessary

Requirements/Qualifications

At least 6 months experience working with individuals with neurodevelopmental diagnoses (i.e., autism, ADHD, Down syndrome, global developmental delay, etc)


High School Diploma/GED


Interest in child development, psychology, education or medicine


Be able to lift up 50lbs, walk continuously for a consecutive 10 minutes

Preferred Qualifications:

At least 1 year enrolled in college/university with major/minor in related field
At least 6 months experience with ABA models
At least 1 year working in a 1:1 capacity with high needs individuals or those with neurodevelopmental diagnoses (i.e., autism, ADHD, Down syndrome, global developmental delay, etc
At least 1 year work with children/adolescents in home environment

Job Type: Part-time
Pay: $20.00 - $30.00 per hour
Benefits:

Flexible schedule

Schedule:

After school
Self-determined schedule
Weekend availability

COVID-19 considerations:Proof of vaccination may be required. Masks are required to be worn following county guidelines.
Experience:

Nannying: 1 year (Preferred)

License/Certification:

Driver's License (Preferred)
CPR Certification (Preferred)

Shift availability:

Day Shift (Preferred)

Work Location: On the road"
8,Front Desk Receptionist,,"About us
Welcome to San Francisco Gymnastics!
In 2002, San Francisco Gymnastics (SFG) opened its doors in the Presidio with a mission: “Provide a quality athletic experience with an emphasis on fun.” Our goal has been to create a success for every child in every class. Since 2002, our gym has quickly become known as a family friendly, high quality program that parents trust. In September 2012 we opened in the Fillmore Center with the same principles. San Francisco Gymnastics’ instructors are caring professionals trained to encourage children to have fun while participating in a challenging program.
Our facility is home of the popular Tumblebug Program for pre-school aged children, gymnastics classes of all levels, competitive teams, delightful birthday parties, exciting camps, and more all year round.
Family, fun, fitness, and community are our priorities, and gymnastics is the vehicle we use to bring it all together for your children.
Qualified applicants will have experience with typical reception skills such as greeting, phones, filing, computers/email, and traffic flow as well as light bookkeeping, billing, inventory, scheduling, light cleaning and organization of office space/lobby.
The front desk greets incoming families, keeps attendance records, collects payments, maintains the work flow of all the administrative needs of the gym. Experience working with children, gymnastics (or other comparable studio sport), children's parties and/or camps a plus. Must love children and all the occasional chaos that can come with working with their adults and caregivers.
We are open Monday - Saturday 8:30am - 8:00pm and Sundays 9:30 - 5:00.
Wages based on experience and expertise.''Work Remotely

No

Job Types: Full-time, Part-time
Pay: $19.00 - $28.00 per hour
Benefits:

Employee discount
Flexible schedule
Health insurance
Paid time off
Parental leave
Professional development assistance
Retirement plan

Schedule:

4 hour shift
Day shift
Evening shift
Monday to Friday
Weekend availability

COVID-19 considerations:San Francisco Gymnastics is following CDC, California State and County Health Departments Covid19 Guidelines.
Education:

High school or equivalent (Preferred)

Experience:

Customer service: 1 year (Preferred)

Work Location: One location"
9,Studio Assistant,,"About us
Chloe Jackman Studios is a small business in San Francisco, CA. We are inclusive, supportive, fast-paced and our goal is to Chloe Jackman Studios is a BIPOC- and woman-owned photography studio in San Francisco, California. A big chunk of our work is in-studio, but we also provide our services nationally and occasionally internationally. We offer various photography services such as weddings, corporate events, product photography & ethical fashion, but what drives us is uncovering what photography can do for our community. We play hard because we work harder. .
Our work environment includes:

Safe work environment
Flexible working hours
Relaxed atmosphere

As a Studio Assistant, you will be responsible for helping in studio productions, from initial casting to directing. You will make sure that background props, actors and set decorations are in place for each new shoot. You should have a keen eye for detail and the ability to follow instructions precisely. Since you will be working directly with our clients, you should be sociable, patient and attentive to their needs. Good communication is essential to fulfill each task properly. Ultimately, the Studio Assistant’s duties are to support studio productions by executing minor production duties and following instructions.
Responsibilities: 

Assist in the management of a television or film studio by performing basic administrative, clerical and production duties .


Greet guests and inform them about the status of their appointments.


Direct visitors to the appropriate person.


Provide basic and accurate information in-person and via phone/email.


Receive, sort and distribute daily mail/delivers.


Order front office supplies and keep inventory of stock.


Update calendars and schedule meetings.


Set-up, operate and dismantle studio equipment as needed to facilitate production shoots (e.g. lighting, cameras, sound equipment etc.).


Assist with pre-production tasks such as arranging location scouts and acquiring props/costumes.

Skills Include: 

Highly organized with the ability to multitask and adapt quickly to changing priorities


Ability to deliver projects on deadline with accuracy


Strong and effective interpersonal, written, and verbal communication skills


Able to professionally interact with key stakeholders within and outside of the organization


Proactive self-starter who is able to take charge of opportunities and work independently with minimal supervision within a team environment


Proven problem-solving skills and ability to adapt to changing business needs


Warm and friendly personality with a great sense of humor

Desired Experience: 

High school diploma or Associate’s Degree


At least 2 years of experience as an office assistant in a related field


Working with project management and/or collaboration software


Advanced technology skills including Google apps and Apple products

Job Type: Part-time
Pay: $19.00 - $20.00 per hour
Schedule:

Monday to Friday

Ability to commute/relocate:

San Francisco, CA 94118: Reliably commute or planning to relocate before starting work (Preferred)

Work Location: One location"
